team,turnovers,blocks,home_team,home_score,away_team,away_score,completions,total_passes,o_line_scores,o_line_points,o_line_posessions,d_line_scores,d_line_points,d_line_posessions,rz_scores,rz_posessions,huck_completions,huck_attempts,season,is_home_team
Spiders,23,10,TOR,18,SJ,28,234,257,17,20,28,11,30,23,,,,,2014,False
Rush,22,19,TOR,31,NY,16,270,292,16,18,25,15,33,30,,,,,2014,True
Empire,37,12,TOR,31,NY,16,213,250,15,33,47,1,18,8,,,,,2014,False
Spiders,19,10,SJ,23,MAD,20,272,291,16,22,28,7,25,15,,,,,2014,True
Radicals,21,16,SJ,23,MAD,20,265,286,15,25,33,5,22,12,,,,,2014,False
Radicals,19,22,MAD,25,IND,16,293,312,14,18,25,11,27,23,,,,,2014,True
AlleyCats,28,6,MAD,25,IND,16,288,316,13,27,37,3,18,10,,,,,2014,False
Breeze,40,5,TOR,37,DC,12,243,283,11,39,48,1,14,4,,,,,2014,False
Rush,13,13,TOR,37,DC,12,253,266,11,13,15,26,39,38,,,,,2014,True
Empire,19,16,NY,22,CHI,17,289,308,13,19,26,9,24,17,,,,,2014,True
Union,24,9,NY,22,CHI,17,261,285,15,24,32,2,19,11,,,,,2014,False
FlameThrowers,26,8,SJ,26,SF,16,261,287,14,28,36,2,18,10,,,,,2014,False
Spiders,17,9,SJ,26,SF,16,277,294,15,18,25,11,28,19,,,,,2014,True
AlleyCats,33,11,MIN,25,IND,15,288,321,10,27,40,5,17,11,,,,,2014,False
Wind Chill,24,14,MIN,25,IND,15,194,218,12,17,24,13,27,26,,,,,2014,True
Cascades,28,13,SEA,18,VAN,21,211,239,12,23,32,6,20,15,,,,,2014,True
Riptide,24,13,SEA,18,VAN,21,217,241,12,20,28,9,23,20,,,,,2014,False
Rush,19,17,PHI,18,TOR,24,272,291,14,20,28,10,26,17,,,,,2014,False
Phoenix,25,9,PHI,18,TOR,24,323,348,14,26,33,4,20,12,,,,,2014,True
Spiders,29,19,SF,17,SJ,23,254,283,12,19,32,11,25,23,,,,,2014,False
FlameThrowers,37,13,SF,17,SJ,23,257,294,13,25,38,4,19,19,,,,,2014,True
Empire,35,13,NY,13,DC,14,308,343,6,16,25,7,16,26,,,,,2014,True
Breeze,35,16,NY,13,DC,14,253,288,6,16,33,8,16,19,,,,,2014,False
Phoenix,26,13,PHI,20,DC,25,325,351,16,26,31,4,22,16,,,,,2014,True
Breeze,21,12,PHI,20,DC,25,218,239,15,22,34,10,27,15,,,,,2014,False
Dragons,26,13,PHI,28,ROC,23,258,284,17,31,37,7,26,16,,,,,2014,False
Phoenix,22,14,PHI,28,ROC,23,303,325,16,25,32,12,30,19,,,,,2014,True
